"","eventid","iyear","imonth","iday","nkill","nwound","country_txt","gname","gsubname","gname2","gsubname2"
"1",199212290002,1992,12,29,2,5,"Yemen","Al-Qaida",NA,NA,NA
"2",199212290003,1992,12,29,1,1,"Yemen","Al-Qaida",NA,NA,NA
"3",199808070002,1998,8,7,224,4000,"Kenya","Al-Qaida",NA,NA,NA
"4",199808070003,1998,8,7,11,85,"Tanzania","Al-Qaida",NA,NA,NA
"5",200001030010,2000,1,3,0,0,"Yemen","Al-Qaida",NA,NA,NA
"6",200010120001,2000,10,12,19,38,"Yemen","Al-Qaida",NA,NA,NA
"7",200109110004,2001,9,11,1385,10878,"United States","Al-Qaida",NA,NA,NA
"8",200109110005,2001,9,11,1385,10878,"United States","Al-Qaida",NA,NA,NA
"9",200109110006,2001,9,11,190,106,"United States","Al-Qaida",NA,NA,NA
"10",200109110007,2001,9,11,44,9,"United States","Al-Qaida",NA,NA,NA
"11",200112220002,2001,12,22,0,1,"France","Al-Qaida",NA,NA,NA
"12",200203170001,2002,3,17,5,46,"Pakistan","Al-Qaida",NA,NA,NA
"13",200204080001,2002,4,8,10,80,"Afghanistan","Al-Qaida",NA,NA,NA
"14",200204110003,2002,4,11,21,30,"Tunisia","Al-Qaida","Islamic Army for the Liberation of the Holy Sites",NA,NA
"15",200205080002,2002,5,8,14,20,"Pakistan","Al-Qaida",NA,NA,NA
"16",200206270006,2002,6,27,19,24,"Afghanistan","Al-Qaida",NA,NA,NA
"17",200209050001,2002,9,5,3,1,"Afghanistan","Al-Qaida",NA,NA,NA
"18",200209050005,2002,9,5,10,65,"Afghanistan","Al-Qaida",NA,NA,NA
"19",200209150002,2002,9,15,1,5,"Pakistan","Al-Qaida",NA,NA,NA
"20",200210060001,2002,10,6,1,12,"International","Al-Qaida",NA,"Adan Abyan Islamic Army (AAIA)",NA
"21",200211140003,2002,11,14,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"22",200211210006,2002,11,21,0,8,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"23",200211280003,2002,11,28,16,0,"Kenya","Al-Qaida","Army of Palestine",NA,NA
"24",200211280004,2002,11,28,0,0,"Kenya","Al-Qaida","Army of Palestine",NA,NA
"25",200212170002,2002,12,17,0,3,"Afghanistan","Al-Qaida",NA,NA,NA
"26",200303040003,2003,3,4,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"27",200303050004,2003,3,5,0,1,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"28",200303070006,2003,3,7,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"29",200303100003,2003,3,10,3,5,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"30",200303130001,2003,3,13,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"31",200303150002,2003,3,15,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"32",200303180007,2003,3,18,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"33",200303200003,2003,3,20,0,0,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"34",200305120006,2003,5,12,12,NA,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"35",200305120007,2003,5,12,11,NA,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"36",200305120008,2003,5,12,11,NA,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"37",200305120009,2003,5,12,0,0,"Saudi Arabia","Al-Qaida in Saudi Arabia",NA,NA,NA
"38",200306070001,2003,6,7,6,29,"Afghanistan","Al-Qaida",NA,"Taliban",NA
"39",200308130001,2003,8,13,17,3,"Afghanistan","Al-Qaida",NA,"Taliban",NA
