"number","eventid","iyear","imonth","iday","nkill","nwound","country_txt"
"1",199212290002,1992,12,29,2,5,"Yemen"
"2",199212290003,1992,12,29,1,1,"Yemen"
"3",199808070002,1998,8,7,224,4000,"Kenya"
"4",199808070003,1998,8,7,11,85,"Tanzania"
"5",200001030010,2000,1,3,0,0,"Yemen"
"6",200010120001,2000,10,12,19,38,"Yemen"
"7",200109110004,2001,9,11,1385,10878,"United States"
"8",200109110005,2001,9,11,1385,10878,"United States"
"9",200109110006,2001,9,11,190,106,"United States"
"10",200109110007,2001,9,11,44,9,"United States"
"11",200112220002,2001,12,22,0,1,"France"
"12",200203170001,2002,3,17,5,46,"Pakistan"
"13",200204080001,2002,4,8,10,80,"Afghanistan"
"14",200204110003,2002,4,11,21,30,"Tunisia"
"15",200205080002,2002,5,8,14,20,"Pakistan"
"16",200206270006,2002,6,27,19,24,"Afghanistan"
"17",200209050001,2002,9,5,3,1,"Afghanistan"
"18",200209050005,2002,9,5,10,65,"Afghanistan"
"19",200209150002,2002,9,15,1,5,"Pakistan"
"20",200210060001,2002,10,6,1,12,"International"
"21",200211140003,2002,11,14,0,0,"Afghanistan"
"22",200211210006,2002,11,21,0,8,"Afghanistan"
"23",200211280003,2002,11,28,16,0,"Kenya"
"24",200211280004,2002,11,28,0,0,"Kenya"
"25",200212170002,2002,12,17,0,3,"Afghanistan"
"26",200303040003,2003,3,4,0,0,"Afghanistan"
"27",200303050004,2003,3,5,0,1,"Afghanistan"
"28",200303070006,2003,3,7,0,0,"Afghanistan"
"29",200303100003,2003,3,10,3,5,"Afghanistan"
"30",200303130001,2003,3,13,0,0,"Afghanistan"
"31",200303150002,2003,3,15,0,0,"Afghanistan"
"32",200303180007,2003,3,18,0,0,"Afghanistan"
"33",200303200003,2003,3,20,0,0,"Afghanistan"
"34",200305120006,2003,5,12,12,NA,"Saudi Arabia"
"35",200305120007,2003,5,12,11,NA,"Saudi Arabia"
"36",200305120008,2003,5,12,11,NA,"Saudi Arabia"
"37",200305120009,2003,5,12,0,0,"Saudi Arabia"
"38",200306070001,2003,6,7,6,29,"Afghanistan"
"39",200308130001,2003,8,13,17,3,"Afghanistan"
"40",200309230003,2003,9,23,4,4,"Saudi Arabia"
"41",200310120001,2003,10,12,7,35,"Iraq"
"42",200311010003,2003,11,1,0,0,"Afghanistan"
"43",200311080004,2003,11,8,17,122,"Saudi Arabia"
"44",200311200005,2003,11,20,16,224,"Turkey"
"45",200311200006,2003,11,20,16,224,"Turkey"
"46",200312250002,2003,12,25,15,46,"Pakistan"
"47",200403110001,2004,3,11,37,450,"Spain"
"48",200403110003,2004,3,11,73,450,"Spain"
"49",200403110004,2004,3,11,19,450,"Spain"
"50",200403110005,2004,3,11,0,0,"Spain"
"51",200403110006,2004,3,11,0,0,"Spain"
"52",200403110007,2004,3,11,62,450,"Spain"
"53",200403240001,2004,3,24,0,2,"Pakistan"
"54",200405010001,2004,5,1,10,25,"Saudi Arabia"
"55",200405290002,2004,5,29,22,26,"Saudi Arabia"
"56",200406040004,2004,6,4,0,3,"Pakistan"
"57",200406100005,2004,6,10,24,NA,"Pakistan"
"58",200406130001,2004,6,13,1,0,"Saudi Arabia"
"59",200406180001,2004,6,18,1,0,"Saudi Arabia"
"60",200408260006,2004,8,26,1,6,"Pakistan"
"61",200408280004,2004,8,28,2,5,"Pakistan"
"62",200410240001,2004,10,24,50,0,"Iraq"
"63",200410250001,2004,10,25,3,19,"Iraq"
"64",200410270002,2004,10,27,1,0,"Iraq"
"65",200412030007,2004,12,3,13,NA,"Iraq"
"66",200412070001,2004,12,6,9,5,"Saudi Arabia"
"67",200412140001,2004,12,14,2,12,"Iraq"
"68",200412200001,2004,12,20,0,0,"Iraq"
"69",200412230001,2004,12,23,1,1,"Pakistan"
"70",200412290001,2004,12,29,8,90,"Saudi Arabia"
"71",200501040002,2005,1,4,2,0,"Iraq"
"72",200501100006,2005,1,10,2,0,"Iraq"
"73",200501110002,2005,1,11,8,8,"Iraq"
"74",200501200002,2005,1,20,3,NA,"Iraq"
"75",200501210006,2005,1,21,12,23,"Iraq"
"76",200502040001,2005,2,4,0,0,"Iraq"
"77",200502070005,2005,2,7,12,7,"Iraq"
"78",200502080001,2005,2,8,21,27,"Iraq"
"79",200502120002,2005,2,12,18,21,"Iraq"
"80",200502190002,2005,2,19,3,NA,"Iraq"
"81",200503020004,2005,3,2,7,2,"Iraq"
"82",200503030001,2005,3,3,9,7,"Iraq"
"83",200503070002,2005,3,7,16,23,"Iraq"
"84",200503070003,2005,3,7,11,NA,"Iraq"
"85",200503140006,2005,3,14,0,0,"Iraq"
"86",200503200004,2005,3,20,4,2,"Iraq"
"87",200504100004,2005,4,10,1,0,"Iraq"
"88",200504140001,2005,4,14,20,24,"Iraq"
"89",200504150003,2005,4,15,1,5,"Iraq"
"90",200504230001,2005,4,23,10,20,"Iraq"
"91",200504240003,2005,4,24,6,26,"Iraq"
"92",200504300001,2005,4,30,3,6,"Iraq"
"93",200504300007,2005,4,30,3,10,"Iraq"
"94",200505010004,2005,5,1,4,12,"Iraq"
"95",200505020005,2005,5,2,3,6,"Iraq"
"96",200505060007,2005,5,6,NA,NA,"Iraq"
"97",200505070007,2005,5,7,22,35,"Iraq"
"98",200505100007,2005,5,10,1,0,"Iraq"
"99",200505120007,2005,5,12,15,NA,"Iraq"
"100",200505120009,2005,5,12,1,99,"Iraq"
"101",200505180008,2005,5,18,1,2,"Iraq"
"102",200505230002,2005,5,23,2,0,"Iraq"
"103",200505290013,2005,5,29,11,12,"Iraq"
"104",200505300002,2005,5,30,34,108,"Iraq"
"105",200505300005,2005,5,30,27,128,"Iraq"
"106",200506010001,2005,6,1,21,52,"Afghanistan"
"107",200506110001,2005,6,11,1,0,"Iraq"
"108",200506130001,2005,6,13,3,NA,"Iraq"
"109",200506190002,2005,6,19,23,NA,"Iraq"
"110",200507010002,2005,7,1,5,0,"Iraq"
"111",200507010004,2005,7,1,2,0,"Iraq"
"112",200507020001,2005,7,2,20,21,"Iraq"
"113",200507020002,2005,7,2,8,26,"Iraq"
"114",200507020006,2005,7,2,0,9,"Iraq"
"115",200507020007,2005,7,2,0,0,"Iraq"
"116",200507050002,2005,7,5,0,1,"Iraq"
"117",200507050003,2005,7,5,0,0,"Iraq"
"118",200507070001,2005,7,7,8,171,"United Kingdom"
"119",200507070002,2005,7,7,27,340,"United Kingdom"
"120",200507070003,2005,7,7,7,163,"United Kingdom"
"121",200507070004,2005,7,7,14,110,"United Kingdom"
"122",200507070005,2005,7,7,1,0,"Iraq"
"123",200507100001,2005,7,10,25,47,"Iraq"
"124",200507110002,2005,7,11,12,NA,"Iraq"
"125",200507110004,2005,7,11,2,0,"Iraq"
"126",200507140007,2005,7,14,3,13,"Iraq"
"127",200507160007,2005,7,16,8,20,"Iraq"
"128",200507190001,2005,7,19,3,0,"Iraq"
"129",200507210002,2005,7,21,0,0,"United Kingdom"
"130",200507210003,2005,7,21,2,0,"Iraq"
"131",200507210006,2005,7,21,0,0,"United Kingdom"
"132",200507210007,2005,7,21,0,0,"United Kingdom"
"133",200507210008,2005,7,21,0,0,"United Kingdom"
"134",200507290007,2005,7,29,44,57,"Iraq"
"135",200508230004,2005,8,23,8,20,"Iraq"
"136",200509140001,2005,9,14,160,542,"Iraq"
"137",200509160006,2005,9,16,4,3,"Iraq"
"138",200509170001,2005,9,17,30,38,"Iraq"
"139",200509250005,2005,9,25,10,12,"Iraq"
"140",200509280002,2005,9,28,6,30,"Iraq"
"141",200510180003,2005,10,0,1,0,"Iraq"
"142",200510310003,2005,10,31,12,NA,"Yemen"
"143",200511050001,2005,11,5,8,NA,"Pakistan"
"144",200511090002,2005,11,9,20,34,"Jordan"
"145",200511090003,2005,11,9,20,33,"Jordan"
"146",200511090004,2005,11,9,21,33,"Jordan"
"147",200511100001,2005,11,10,35,25,"Iraq"
"148",200512060004,2005,12,6,36,72,"Iraq"
"149",200512140002,2005,12,14,0,0,"Sweden"
"150",200512290001,2005,12,29,0,0,"Iraq"
"151",200601090001,2006,1,9,2,15,"Iraq"
"152",200602030004,2006,2,3,0,1,"Bangladesh"
"153",200602030005,2006,2,3,0,0,"Bangladesh"
"154",200602060003,2006,2,6,0,0,"Afghanistan"
"155",200602220004,2006,2,22,0,0,"Iraq"
"156",200602240009,2006,2,24,4,8,"Saudi Arabia"
"157",200604070001,2006,4,7,90,NA,"Iraq"
"158",200606030001,2006,6,3,1,0,"Iraq"
"159",200606110001,2006,6,11,6,59,"Iraq"
"160",200609180004,2006,9,18,11,18,"Somalia"
"161",200611100004,2006,11,10,9,4,"Pakistan"
"162",200701230001,2007,1,23,0,0,"West Bank and Gaza Strip"
"163",200701270005,2007,1,27,1,0,"Iraq"
"164",200701280007,2007,1,28,0,0,"Algeria"
"165",200701300008,2007,1,30,15,NA,"Algeria"
"166",200702010006,2007,2,1,0,0,"Algeria"
"167",200702020008,2007,2,2,0,2,"Algeria"
"168",200702060001,2007,2,6,1,0,"Algeria"
"169",200702080009,2007,2,8,0,0,"Algeria"
"170",200702130001,2007,2,13,1,0,"Algeria"
"171",200702130002,2007,2,13,0,4,"Algeria"
"172",200702130003,2007,2,13,4,8,"Algeria"
"173",200702130004,2007,2,13,0,0,"Algeria"
"174",200702130005,2007,2,13,2,3,"Algeria"
"175",200702130006,2007,2,13,0,14,"Algeria"
"176",200702200012,2007,2,20,0,0,"Algeria"
"177",200702210010,2007,2,21,0,0,"Algeria"
"178",200702280009,2007,2,28,0,2,"Algeria"
"179",200702280010,2007,2,28,0,0,"Algeria"
"180",200702280011,2007,2,28,0,0,"Algeria"
"181",200702280012,2007,2,28,0,0,"Algeria"
"182",200703030002,2007,3,3,4,5,"Algeria"
"183",200703040003,2007,3,4,9,1,"Algeria"
"184",200703160001,2007,3,16,2,2,"Iraq"
"185",200703160002,2007,3,16,2,100,"Iraq"
"186",200703160003,2007,3,16,1,250,"Iraq"
"187",200703220005,2007,3,22,0,0,"Iraq"
"188",200703230001,2007,3,23,8,18,"Iraq"
"189",200703280007,2007,3,28,0,0,"Algeria"
"190",200704020010,2007,4,2,3,7,"Algeria"
"191",200704070004,2007,4,7,15,5,"Algeria"
"192",200704110001,2007,4,11,30,160,"Algeria"
"193",200704120001,2007,4,12,8,20,"Iraq"
"194",200704130009,2007,4,13,2,2,"Algeria"
"195",200704140001,2007,4,14,2,1,"Morocco"
"196",200704160004,2007,4,16,0,2,"Algeria"
"197",200704170007,2007,4,17,0,1,"Algeria"
"198",200704180001,2007,4,18,127,148,"Iraq"
"199",200704240007,2007,4,24,1,0,"Algeria"
"200",200704250007,2007,4,25,1,0,"Algeria"
"201",200705070004,2007,5,7,19,11,"Iraq"
"202",200705130002,2007,5,14,2,3,"Algeria"
"203",200705150004,2007,5,15,0,0,"Algeria"
"204",200705160001,2007,5,16,1,2,"Algeria"
"205",200705190005,2007,5,19,16,NA,"Iraq"
"206",200705270004,2007,5,27,0,1,"Algeria"
"207",200705290002,2007,5,29,0,2,"Algeria"
"208",200706010004,2007,6,1,3,4,"Iraq"
"209",200706020001,2007,6,2,0,0,"Iraq"
"210",200706020008,2007,6,2,1,0,"Iraq"
"211",200706020020,2007,6,2,1,10,"Algeria"
"212",200706020021,2007,6,2,1,0,"Algeria"
"213",200706040049,2007,6,4,0,0,"Algeria"
"214",200706060041,2007,6,6,0,0,"Algeria"
"215",200706070011,2007,6,7,3,7,"Algeria"
"216",200706080001,2007,6,8,15,0,"Iraq"
"217",200706090001,2007,6,9,15,30,"Iraq"
"218",200706110001,2007,6,11,1,0,"Iraq"
"219",200706130002,2007,6,13,0,0,"Iraq"
"220",200706210001,2007,6,21,18,66,"Iraq"
"221",200706210005,2007,6,21,0,1,"Algeria"
"222",200706300003,2007,6,30,1,2,"United Kingdom"
"223",200707000001,2007,7,0,1,0,"Algeria"
"224",200707020002,2007,7,2,1,0,"Iraq"
"225",200707030001,2007,7,3,9,0,"Yemen"
"226",200707030002,2007,7,3,1,0,"Algeria"
"227",200707050018,2007,7,5,0,1,"Algeria"
"228",200707110002,2007,7,11,11,35,"Algeria"
"229",200707110007,2007,7,11,1,1,"Algeria"
"230",200707140001,2007,7,14,25,26,"Pakistan"
"231",200707200007,2007,7,20,0,1,"Algeria"
"232",200708140003,2007,8,14,3,8,"Algeria"
"233",200708140005,2007,8,14,0,1,"Algeria"
"234",200708150005,2007,8,14,250,750,"Iraq"
"235",200708160008,2007,8,14,250,750,"Iraq"
"236",200708190001,2007,8,19,0,0,"Algeria"
"237",200708240037,2007,8,24,3,9,"Iraq"
"238",200709030002,2007,9,3,0,0,"Iraq"
"239",200709030009,2007,9,3,6,0,"Algeria"
"240",200709040001,2007,9,4,18,35,"Pakistan"
"241",200709060002,2007,9,6,16,74,"Algeria"
"242",200709070004,2007,9,7,1,0,"Algeria"
"243",200709080006,2007,9,8,30,47,"Algeria"
"244",200709120005,2007,9,12,0,0,"Algeria"
"245",200709130002,2007,9,14,3,NA,"Iraq"
"246",200709140001,2007,9,14,3,5,"Algeria"
"247",200709160002,2007,9,16,14,NA,"Iraq"
"248",200709200007,2007,9,20,1,1,"Algeria"
"249",200709210003,2007,9,21,1,9,"Algeria"
"250",200709240006,2007,9,24,20,30,"Iraq"
"251",200709240012,2007,9,24,1,0,"Algeria"
"252",200709260003,2007,9,26,2,0,"Algeria"
"253",200710010020,2007,10,1,0,3,"Algeria"
