"","summary"
"1",NA
"2",NA
"3","08/07/1998: Suicide attackers detonated a vehicle bomb outside of the United States Embassy in Nairobi, Kenya, killing 224 people, including 12 Americans. Four thousand people were also injured in the attack, which was perpetrated by Al-Qaida."
"4","08/07/1998: Suicide attackers detonated a vehicle bomb outside of the United States Embassy in Dar Es Salaam, Tanzania, killing 11 people. Eighty-five people were also injured in the attack, which was perpetrated by Al-Qaida."
"5","01/03/2000: Ten months prior to the bombing of the USS Cole in the Gulf of Aden, the perpetrators responsible for the USS Cole attack attempted a similar attack against the USS The Sullivans. The explosives-laden boat sank before reaching the USS The Sullivans, however the perpetrators salvaged the boat and the explosives and used both in the attack on the USS Cole."
"6","10/12/2000: Suicide bombers in a small boat loaded with explosives blasted a house-sized hole in the U.S. Navy destroyer, the U.S.S. Cole, which was stopping for fuel in the Port of Aden, Yemen. Seventeen American sailors were killed and 35 others were injured by the blast. Al-Qa 'ida was later discovered to be behind the attack."
"7","09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Attacks. In the first attack, which occurred at 8:46 am local time, American Airlines Flight 11 crashed into the North Tower of the World Trade Center Complex in New York City, New York. Five hijackers belonging to Al-Qaida took control of the Boeing 767 aircraft on a flight originating from Logan International Airport in Boston, Massachusetts, and destined for Los Angeles International Airport. There were 76 passengers, 11 crew members and five hijackers on the plane, all of whom died upon impact. The North Tower collapsed at 10:28 a.m. local time after the South Tower had collapsed at 9:59 a.m. local time. At least 2,770 people died as a result of the attacks in New York City, including 10 hijackers as well as responders who contracted cancer and respiratory illnesses at the attack site and passed away years later. More than 21,000 others were injured, according to information reported by the September 11th Victims Compensation Fund. Al-Qaida leaders including Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews."
"8","09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Attacks. In the second of these attacks, which occurred at 9:03 a.m. local time, United Airlines Flight 175 crashed into the South Tower of the World Trade Center Complex in New York City, New York. Five hijackers belonging to Al-Qaida hijacked the Boeing 767 aircraft on a flight originating from Logan International Airport in Boston, Massachusetts, and destined for Los Angeles International Airport. There were 56 passengers, nine crew members and five hijackers on the plane, all of whom died upon impact. The South Tower collapsed at 9:59 a.m. local time, killing all who were trapped inside or located nearby. The North Tower collapsed, after having been struck by American Airlines Flight 11, at 10:28 a.m. local time. At least 2,770 people died as a result of the attacks in New York City, including 10 hijackers as well as responders who contracted cancer and respiratory illnesses at the attack site and passed away years later. More than 21,000 others were injured, according to information reported by the September 11th Victims Compensation Fund. Al-Qaida leaders including Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews."
"9","09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the third of these attacks, which occurred at 9:37 am local time, American Airlines Flight 77 crashed into the Pentagon in Arlington, Virginia. Five hijackers belonging to Al-Qaida hijacked the Boeing 757 aircraft on a flight from Washington Dulles International Airport to for Los Angeles International Airport and proceeded to fly the plane into the western side of the Pentagon. At least 190 people died as a result of the attack at the Pentagon. There were 53 passengers, six crew members and five hijackers on the plane, all of whom died on impact. In addition, 125 people died in the Pentagon due to the impact or in the resulting fire, and at least one first responder died as a result of illness contracted due to exposure to contaminants at the attack site. More than 100 people were injured. Al-Qaida leaders including Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews."
"10","09/11/2001: This was one of four related attacks that occurred in the United States that are known collectively as the 9/11 Terrorist Attacks. In the fourth of these attacks, occurring at 10:03 am local time, United Airlines Flight 93, a Boeing 757 passenger airplane, crashed en route from Newark, New Jersey to San Francisco, California. The plane crashed in a rural area of Pennsylvania near the town of Shanksville following a struggle for control of the plane between the passengers and four hijackers. Forty-four people, including 33 passengers, seven crew members, and four hijackers were killed in the crash. Nine responders were injured, according to information reported by the September 11th Victims Compensation Fund. Al-Qaida leaders including Osama bin Laden and Khalid Shaikh Mohammed claimed responsibility for the attacks in multiple videotaped interviews. Mohammed indicated in a 2002 interview with the Doha-based Al Jazeera News Network that the intended target of Flight 93 had been the United States Capitol Building located in Washington, DC."
"11","12/22/2001: On American Airlines Flight 63 en route to Miami, Florida, from Paris, France, Richard Reid attempted to detonate explosives in his shoes by igniting them with a match. After several attempts Reid was unsuccessful, possibly due to moisture on the fuse, and was restrained by passengers when a flight attendant smelled sulphur from the lit match. Doctors on board sedated Reid while the flight was escorted to Boston's Logan Airport by two U.S. Air Force F-15 fighter jets. All 185 passengers and 12 crew members were safely removed; several had minor injuries including a flight attendant who was bitten by the perpetrator when she confronted him. Reid's shoes contained detonator wire and the plastic explosives triacetone triperoxide (TATP) and pentrite (PETN) that could have destroyed the plane if detonated. Reid, a petty criminal who converted to Islam while in jail and was trained by al-Qaida, ultimately pled guilty to all charges related to the incident and was sentenced to life in prison on January 30, 2003."
"12","03/17/2002: Two unidentified men threw several grenades inside the Protestant International Church in Islamabad, Pakistan, which killed five people, including two American nationals, and injured forty-six people. The assailant was suspected to have had ties with Al-Qaida. No one officially claimed responsibility for the attack."
"13","04/08/2002: A bomb exploded 10 meters from the car carrying Afghan Defense Minister General Mohammad Qasim Fahim. Fahim survived, but 10 civilians were killed and approximately 80 civillians injured. Al Qaida later claimed responsibility."
"14","04/11/2002: At 9:35 a.m., Nizar Naouar, a Tunisian man, rammed an old Iveco tanker truck filled with 5,000 liters of liquid gas into the Ghriba synagogue on the Tunisian vacation island of Djerba. The resulting explosion killed twenty-one people, including 14 Germans, two French tourists and five Tunisians. In addition to the attacks’ casualties, the suicide bomber was also killed. Al-Qaida claimed responsibility for the attack in two televised interviews to arab language media."
"15","05/08/2002: Fourteen military personnel, 11 French and three Pakistani, were killed in Karachi, Pakistan when they were attacked by a man who exploded the car he was in next to the bus they had just boarded. Another 20 were reported to have been injured in the bombing. The French nationals were in Pakistan assisting the Pakistani military on naval matters and were assumed to be the main target. Authorities, including the French defense minister Alliot-Marie, believed that there was a strong chance Al-Qaida was involved in the attack. They also believed that this incident was related to an April, 2002 bombing in Tunisia that killed 17 people, including 12 Germans, which Al Qaida was also suspected to have perpetrated. French and Pakistani authorities believed that three perpetrators were behind the bombing. Pakistani authorities had arrested 406 people in an effort to capture the perpetrators. No group claimed responsibility for the attack."
"16","06/27/2002: A rocket launched into an Afghani munitions dump set off explosions that killed 19 people in the border town of Spinboldak. Blasts continued throughout the night and into the next day. Border Security indicated Al-Qai da operatives were responsible for the attack."
"17","09/05/2002: An assassination attempt was made on President Hamid Karzai, when a man wearing an Afghan security uniform stepped out of a crowd and opened fire on his motorcade during a trip to Kandahar, Afghanistan. Mr. Karzai escaped unharmed and the assailant, Abdul Rahman, was immediately killed by the President's American bodyguards. Two other Afghans were killed also in the incident and Governor Gul Agha Sherzai, who was travelling with Karzai, was wounded in the attack. Afghan officials suspected Al Qaida in this attack, although no claim of responsibility was made."
"18","9/5/2002: A busy market was bombed in Kabul, Kabul Province, Afghanistan. A smaller explosion drew curious crowds to the area; the smaller blast was followed by a powerful explosion from a device hidden inside of a taxi. At least ten people were killed and at least another 65 were wounded. Vehicles were destroyed and stores were damaged. The taxi was parked outside of a store selling televisions, a forbidden item under Taliban rule. Authorities believe that Al-Qa ida is responsible for the explosion. Former Prime Minister Hekmatyar had just called for jihad that week."
"19","9/15/2002: An improvised explosive device detonated on a Karachi-bound bus that had just left Hyderabad, Sindh province, Pakistan. One person was killed in the explosion and another five were injured. No group has claimed responsibility; however, authorities suspect the involvement of Al-Qa ida militants. Specific motive is unknown."
"20","10/06/2002: A dinghy containing explosives detonated against the side of the French oil tanker MV Limberg. One crew member was killed and twelve others were injured. The vessel caught fire and leaked approximately 90,000 barrels of oil into the Gulf of Aden. Al Qaida later claimed reponsibility via the now defunct website Jihad.net."
"21","11/14/2002: Two rockets landed near Jalalabad airport and two rockets hit a high school in Jalalabad, Nangarhar Province, Afghanistan. The buildings and facilities were damaged, but the incident caused no casualties. Authorities suspected Al-Qaida or Taliban was responsible for the incident."
"22","11/21/2002: An explosive device was exploded at Charsoo Bazaar, the money exchange center of Kandahar Province, Afghanistan. Eight were injured from the incident. The device was believed to be a grenade hidden under a table. Authorities suspected Al-Qaida or the Taliban was responsible for the incident, yet no group claimed responsibility for the blast."
"23","11/28/2002: Perpetrators attacked Paradise Hotel in Mombasa, Kenya, with a suicide car bomb. The hotel was popular among Israelis. Ten Kenyans, three Israelis, and the three perpetrators were killed in the incident suspected to have been carried out by al-Qaida."
"24","11/28/2002: Two missiles missed a jet belonging to Arkia, an Israeli charter airline, as the plane had taken off from Mombasa airport, Mombasa, Kenya. There was no damage to the plane, and none was injured aboard the plane. The plane continued to fly toward Tel Aviv. Government officials suspected al-Qaida was responsible for the attack. An Islamist website published a message purportedly from the al-Qaeda terror network claiming responsibility for the attacks in Kenya."
"25","12/17/2002: Two American soldiers and their translator were injured when two attackers hurled a hand grenade at their Jeep in Kabul, Afghanistan. The main suspect, Amir Jon, was arrested at the scene. While a number of other persons were held for questioning, it was determined that the attack was carried out by two Pakistanis trained by the al-Qaida network to carry out the anti-American operation."
"26","03/04/2003: Explosives, hidden in the garbage, detonated at a teaching hospital in Jalalabad, Afghanistan, causing no injuries. Afghan police blamed the Taliban and Al-Qaida."
"27","03/05/2003: A bomb exploded at the United Nations World Food Programme office in Jalalabad, Afghanistan, causing minor injuries to a non-UN employee and damaging windows and a wall to the office. There was no claim of responsibility, but Afghan police blamed the Taliban and Al-Qaida."
"28","03/07/2003: A bomb, hidden in a sewage drain, exploded outside of a government utility building in Jalalabad, Afghanistan, shattering windows and slightly damaging nearby buildings. No injuries were reported and police blamed Al-Qaida and the Taliban."
